paper_title,paper_authors_names,first_author_country,date_acceptance_publication,issn_journal,doi_link,number_of_citations,number_of_references,number_of_papers_reviewed,research_questions,time_period_covered,databases_searched,inclusion_exclusion_criteria,optical_rgb_truecolor,optical_panchromatic,optical_multispectral,optical_hyperspectral,non_optical_synthetic_aperture_radar,non_optical_lidar,non_optical_thermal,non_optical_microwave,data_source_properties_spatial_resolution,data_source_properties_temporal_resolution,data_source_properties_spectral_resolution,cv_task_object_detection,cv_task_super_resolution,cv_task_semantic_segmentation,cv_task_instance_segmentation,cv_task_change_detection,cv_task_scene_classification,deeplearning_cnn,deeplearning_rnn_lstm,deeplearning_transformers,deeplearning_gan,deeplearning_autoencoders,deeplearning_unet,deeplearning_yolo,deeplearning_resnet,deeplearning_vision_transformer,application_agriforest_crop_classification,application_agriforest_crop_yield_prediction,application_agriforest_forest_cover_mapping,application_agriforest_deforestation_detection,application_agriforest_tree_canopy_detection,application_agriforest_disease_detection,application_urbaninfra_building_detection,application_urbaninfra_urban_planning,application_urbaninfra_road_network_detection,application_urbaninfra_change_detection,application_urbaninfra_infrastructure_monitoring,application_environmental_land_cover_classification,application_environmental_water_body_detection,application_environmental_natural_disaster_assessment,application_environmental_climatechange_impact,application_environmental_biodiversity_monitoring,application_coastalmarine_coastal_monitoring,application_coastalmarine_marine_ecosystem,application_coastalmarine_fish_farm_detection,application_coastalmarine_ocean_parameter_analysis,application_others_military_defence,application_others_mining,application_others_refugee_camps,application_others_archaeological_sites,application_others_weather_monitoring,application_others_ice_snow_monitoring,application_others_vehicle_detection,application_others_traffic_analysis,application_others_ship_classification_detection,application_others_oil_spill_detection,application_others_planetary_studies,technicalfocus_preprocessing_methods,technicalfocus_data_fusion_techniques,technicalfocus_transfer_learning,technicalfocus_few_shot_learning,technicalfocus_active_learning,technicalfocus_unsupervised_learning,technicalfocus_semi_supervised_learning,technicalfocus_multi_task_learning,challengeslimitations_computational_resources,challengeslimitations_data_availability,challengeslimitations_data_quality,challengeslimitations_algorithm_performance,challengeslimitations_scalability_issues,challengeslimitations_domain_adaptation,clearly_state_number_of_surveyed_papers,explicit_delineation_survey_vs_auxref,prisma_compliant_paper_selection_workflow,structured_metanalysis_dataset_available,journal_published,journal_publisher_name,year,prisma_implementation_score,full_implementation,prisma_concordance,mri_score,mri_classification
Accuracy Assessment in Convolutional Neural Network-Based Deep Learning Remote Sensing Studies—Part 1: Literature Review,"Aaron E. Maxwell, Timothy A. Warner, Luis Andrés Guillén",USA,2021-06-21,2072-4292,https://doi.org/10.3390/rs13132450,156,153,100,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,False,False,True,True,True,False,True,True,False,True,True,False,False,False,Remote Sensing,MDPI,2021,1.0,True,False,0.55,Fair
Deep Learning-Based Semantic Segmentation of Urban Features in Satellite Images: A Review and Meta-Analysis,"Bipul Neupane, Teerayut Horanont, Jagannath Aryal",Thailand,2021-02-18,2072-4292,https://doi.org/10.3390/rs13040808,143,175,71,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,Remote Sensing,MDPI,2021,1.0,True,False,0.8999999999999999,Excellent
A Survey of Computer Vision Methods for 2D Object Detection from Unmanned Aerial Vehicles,"Dario Cazzato, Claudio Cimarelli, Jose Luis Sanchez-Lopez, Holger Voos, Marco Leo",Luxembourg,2020-07-31,2313-433X,https://doi.org/10.3390/jimaging6080078,79,204,150,True,False,False,False,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,Journal of Imaging,MDPI,2020,0.0,False,False,0.15,Poor
The potential of remote sensing and artificial intelligence as tools to improve the resilience of agriculture production systems,"Jinha Jung, Murilo Maeda, Anjin Chang, Mahendra Bhandari, Akash Ashapure, Juan Landivar-Bowles",USA,2020-10-07,1879-0429,https://doi.org/10.1016/j.copbio.2020.09.003,243,67,67,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,Current Opinion in Biotechnology,Elsevier,2020,0.0,False,False,0.0,Poor
Remote sensing techniques: mapping and monitoring of mangrove ecosystem—a review,"Khushbu Maurya, Seema Mahajan, Nilima Chaube",India,2021-07-03,2198-6053,https://doi.org/10.1007/s40747-021-00457-z,83,72,72,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,False,Complex & Intelligent Systems,Springer,2021,0.0,False,False,0.15,Poor
A review on deep learning in UAV remote sensing," Lucas Prado Osco, José Marcato Junior, Ana Paula Marques Ramos, Lúcio André de Castro Jorge, Sarah Narges Fatholahi, Jonathan de Andrade Silva, Edson Takashi Matsubara, Hemerson Pistori, Wesley Nunes Gonçalves, Jonathan Li",Brazil,2021-07-17,1872-826X,https://doi.org/10.1016/j.jag.2021.102456,283,185,250,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,International Journal of Applied Earth Observations and Geoinformation,Elsevier,2021,1.0,True,False,0.4,Poor
"Computer Vision, IoT and Data Fusion for Crop Disease Detection Using Machine Learning: A Survey and Ongoing Research","Maryam Ouhami, Adel Hafiane, Youssef Es-Saady, Mohamed El Hajji, Raphael Canals",Morocco,2021-06-22,2072-4292,https://doi.org/10.3390/rs13132486,133,147,98,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,Remote Sensing,MDPI,2021,0.0,False,False,0.0,Poor
Effect of Attention Mechanism in Deep Learning-Based Remote Sensing Image Processing: A Systematic Literature Review,"Saman Ghaffarian, João Valente, Mariska van der Voort, Bedir Tekinerdogan",Netherlands,2021-07-26,2072-4292,https://doi.org/10.3390/rs13152965,108,149,176,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,True,True,True,True,Remote Sensing,MDPI,2021,1.0,True,True,1.0,Excellent
Deep-learning-based information mining from ocean remote-sensing imagery,"Xiaofeng Li, Bin Liu, Gang Zheng, Yibin Ren, Shuangshang Zhang, Yingjie Liu, Le Gao, Yuhai Liu, Bin Zhang, Fan Wang",China,2020-03-06,2053-714X,https://doi.org/10.1093/nsr/nwaa047,272,128,92,False,True,False,False,True,False,True,False,True,False,True,True,True,True,True,True,False,True,False,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,National Science Review,Oxford University Press,2020,0.3333333333333333,False,False,0.07,Poor
A review on early wildfire detection from unmanned aerial vehicles using deep learning-based computer vision algorithms,"Abdelmalek Bouguettaya, Hafed Zarzour, Amine Mohammed Taberkit, Ahmed Kechida",Algeria,2021-08-30,1872-7557,https://doi.org/10.1016/j.sigpro.2021.108309,149,94,40,False,True,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,True,True,True,False,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,Signal Processing ,Elsevier,2021,0.6666666666666666,False,False,0.3,Poor
Review of deep learning methods for remote sensing satellite images classification: experimental survey and comparative analysis,"Adekanmi Adeyinka Adegun, Serestina Viriri, Jules-Raymond Tapamo",South Africa,2023-06-02,2196-1115,https://doi.org/10.1186/s40537-023-00772-x,44,40,27,True,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,Journal of Big Data,Springer,2023,0.0,False,False,0.15,Poor
A systematic review on hyperspectral imaging technology with a machine and deep learning methodology for agricultural applications,"Atiya Khan, Amol D. Vibhute, Shankar Mali, C.H. Patil",India,2022-05-13,1878-0512,https://doi.org/10.1016/j.ecoinf.2022.101678,177,113,18,True,False,True,True,True,False,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,True,True,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,False,False,Ecological Informatics,Elsevier,2022,0.6666666666666666,False,False,0.48000000000000004,Fair
Deep Learning-Based Change Detection in Remote Sensing Images: A Review,"Ayesha Shafique, Guo Cao, Zia Khan, Muhammad Asad, Muhammad Aslam",China,2022-02-05,2072-4292,https://doi.org/10.3390/rs14040871,188,198,68,False,True,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,Remote Sensing,MDPI,2022,0.6666666666666666,False,False,0.32,Poor
A Review of Deep Learning in Multiscale Agricultural Sensing,"Dashuai Wang, Wujing Cao, Fan Zhang, Zhuolin Li, Sheng Xu, Xinyu Wu",China,2022-01-23,2072-4292,https://doi.org/10.3390/rs14030559,111,132,75,False,True,True,False,True,False,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,False,True,True,True,True,False,False,False,False,False,False,Remote Sensing,MDPI,2022,0.6666666666666666,False,False,0.15000000000000002,Poor
A Survey on Deep Learning-Based Change Detection from High-Resolution Remote Sensing Images,"Huiwei Jiang, Min Peng, Yuanjun Zhong, Haofeng Xie, Zemin Hao, Jingming Lin, Xiaoli Ma, Xiangyun Hu",China,2022-03-21,2072-4292,https://doi.org/10.3390/rs14071552,145,195,116,False,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,Remote Sensing,MDPI,2022,0.6666666666666666,False,False,0.15000000000000002,Poor
Deep learning in multimodal remote sensing data fusion: A comprehensive review,"Jiaxin Li, Danfeng Hong, Lianru Gao, Jing Yao, Ke Zheng, Bing Zhang, Jocelyn Chanussot",China,2022-07-14,1872-826X,https://doi.org/10.1016/j.jag.2022.102926,232,168,160,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,True,True,True,True,False,False,False,International Journal of Applied Earth Observations and Geoinformation,Elsevier,2022,0.6666666666666666,False,False,0.3,Poor
Google Earth Engine and Artificial Intelligence (AI): A Comprehensive Review,"Liping Yang, Joshua Driscol, Sarigai Sarigai, Qiusheng Wu, Haifei Chen, Christopher D. Lippitt",USA,2022-07-02,2072-4292,https://doi.org/10.3390/rs14143253,98,264,200,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,False,False,True,Remote Sensing,MDPI,2022,1.0,True,False,0.5999999999999999,Fair
Remote Sensing Image Classification: A Comprehensive Review and Applications,"Maryam Mehmood, Ahsan Shahzad, Bushra Zafar, Nouman Ali, Ams Shabbir",Pakistan,2022-06-20,1563-5147,https://doi.org/10.1155/2022/5880959,41,157,150,True,False,False,False,True,False,True,True,True,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,Mathematical Problems in Engineering,Wiley,2022,0.0,False,False,0.15,Poor
Computer Vision and Pattern Recognition for the Analysis of 2D/3D Remote Sensing Data in Geoscience: A Survey,"Michalis A. Savelonas, Christos N. Veinidis, Theodoros K. Bartsokas",Greece,2022-11-24,2072-4292,https://doi.org/10.3390/rs14236017,15,349,175,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,False,Remote Sensing,MDPI,2022,0.0,False,False,0.15,Poor
A Systematic Literature Review on Crop Yield Prediction with Deep Learning and Remote Sensing,"Priyanga Muruganantham, Santoso Wibowo, Srimannarayana Grandhi, Nahidul Hoque Samrat, Nahina Islam",Australia,2022-04-20,2072-4292,https://doi.org/10.3390/rs14091990,132,99,44,True,True,True,True,True,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,Remote Sensing,MDPI,2022,1.0,True,True,0.6499999999999999,Fair
A Survey of Computer Vision Techniques for Forest Characterization and Carbon Monitoring Tasks,"Svetlana Illarionova, Dmitrii Shadrin, Polina Tregubova, Vladimir Ignatiev, Albert Efimov, Ivan Oseledets, Evgeny Burnaev",Russia,2022-11-16,2072-4292,https://doi.org/10.3390/rs14225861,17,236,123,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,True,True,False,False,False,Remote Sensing,MDPI,2022,0.6666666666666666,False,False,0.48000000000000004,Fair
A Review of Practical AI for Remote Sensing in Earth Sciences,"Bhargavi Janga, Gokul Prathin Asamani, Ziheng Sun, Nicoleta Cristea",USA,2023-08-15,2072-4292,https://doi.org/10.3390/rs15164112,100,221,35,True,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,True,False,False,True,True,True,True,False,True,False,False,False,False,Remote Sensing,MDPI,2023,0.3333333333333333,False,False,0.22,Poor
Deep learning-based semantic segmentation of remote sensing images: a review,"Jinna Lv, Qi Shen, Mingzheng Lv, Yiran Li, Lei Shi, and Peiying Zhang",China,2023-06-22,2296-701X,https://doi.org/10.3389/fevo.2023.1201125,29,150,100,True,True,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,True,True,False,True,False,True,True,True,False,True,False,False,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,True,True,False,True,False,True,False,False,False,False,Frontiers in Ecology and Evolution,Frontiers,2023,0.6666666666666666,False,False,0.3,Poor
Remote Sensing Object Detection in the Deep Learning Era—A Review,"Shengxi Gui, Shuang Song, Rongjun Qin, Yang Tang",USA,2024-01-09,2072-4292,https://doi.org/10.3390/rs16020327,26,207,124,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,Remote Sensing,MDPI,2024,0.0,False,False,0.15,Poor
